Title,Company,Experience,Salary,Location,Skills,Description,Link
Data Analyst,Air India,0-2 Yrs,Not Disclosed,Delhi / NCR,"Data Analytics, HR Analytics, Data Analysis, Advanced Excel, Analytics, Analysis, Excel, Data",We are inviting applications of fresh graduates for Apprentice roles who are looking to...,https://www.naukri.com/job-listings-data-analyst-air-india-delhi-ncr-0-to-2-years-220825022079
Data Analyst,Capgemini,4-9 Yrs,Not Disclosed,"Hybrid - Chennai, Delhi / NCR, Mumbai (All Areas)","Power Bi, Data Analysis, Data Visualization, Tableau, Data Analytics, SQL, Analytics, Bi","Required Skills & Qualifications: . Bachelors degree in Data Science, Statistics, Compu...",https://www.naukri.com/job-listings-data-analyst-capgemini-chennai-delhi-ncr-mumbai-all-areas-4-to-9-years-021225014173
Data Analyst,Sbicap Securities,N/A,10-15 Lacs PA,Mumbai,"Data Analysis, Predictive Modeling, Statistical Modeling, Data Analytics, SQL, Python, Predictive Analytics, Statistics",Key Competencies: . Strong proficiency in Python or R for data analysis and modelingExp...,https://www.naukri.com/job-listings-data-analyst-sbicap-securities-mumbai-2-to-5-years-130426027758
Data Analyst,Tata Consultancy Services,1-5 Yrs,Not Disclosed,"Gandhinagar, Vadodara","Data Operation, Data Processing, Typing Speed, Back Office Processing, Power Bi, Non Voice Process, Computer Operating, Backend Operations",Generic Data Operator Requirement: Qualification: Minimum 10+2+3 (Graduate in any disci...,https://www.naukri.com/job-listings-data-analyst-tata-consultancy-services-gandhinagar-vadodara-1-to-5-years-020426016456
Data Analyst,Anheuser Busch InBev,2-4 Yrs,4-5 Lacs PA,Bengaluru,"Excel, SAP, Power Bi, Data Extraction, Data Analytics, Data Mining, Data Visualization, Data Cleansing","Required Qualifications . Bachelors degree in data science, Statistics, Computer Scienc...",https://www.naukri.com/job-listings-data-analyst-anheuser-busch-inbev-bengaluru-2-to-4-years-090426009084
Data Analyst,Equitas Small Finance Bank,5-10 Yrs,Not Disclosed,Hybrid - Chennai,"Banking Operations, Analytics, Data, Data analysis, Banking Operation, Operations",Proven working experience as a Data or Business data analyst. .,https://www.naukri.com/job-listings-data-analyst-equitas-small-finance-bank-chennai-5-to-10-years-090426014813
Data Analyst,Barclays,0-7 Yrs,Not Disclosed,Bengaluru,"advanced analytics, Analytical, Machine learning, Service excellence, Data Analyst, Business strategy, Assistant Vice President, Individual Contributor","They will identify new directions for assignments and/ or projects, identifying a combi...",https://www.naukri.com/job-listings-data-analyst-barclays-shared-services-bengaluru-0-to-7-years-180326500945
Data Analyst,Amrita Vishwa Vidyapeetham,1-3 Yrs,Not Disclosed,Kollam,"Automation, Social science, Postgresql, Data collection, Workflow, Data Analyst, Research, Continuous improvement","Experience with database systems (SQL, PostgreSQL). Experience in social science resear...",https://www.naukri.com/job-listings-data-analyst-amrita-vishwa-vidyapeetham-kollam-1-to-3-years-170426503457
Data Analyst,Indium Software,1-5 Yrs,Not Disclosed,Bengaluru,"Data validation, Statistical analysis, GCP, Analytical, Machine learning, power bi, Data Analyst, data visualization",Experience with SQL for data querying and manipulation . Strong proficiency in Python (...,https://www.naukri.com/job-listings-data-analyst-indium-software-bengaluru-1-to-5-years-100426500279
Data Analyst,Fossil Group,3-5 Yrs,Not Disclosed,Hybrid - Bengaluru(Brookefield),"Power Bi, SQL, Tableau, Data Analytics, Python, Data, Data analysis, Bi","The ideal candidate should have strong hands-on expertise in . Python, SQL, Google Big ...",https://www.naukri.com/job-listings-data-analyst-fossil-group-bengaluru-3-to-5-years-010426027706
Data Analyst,Capgemini,4-9 Yrs,Not Disclosed,"Hybrid - Pune, Chennai, Bengaluru","Banking And Insurance, Data Migration, Data Visualization, Data Analytics, SQL, Predictive Modeling, risk, Statistical Data Analysis",Role & responsibilities:Outline the day-to-day responsibilities for this role.Preferred...,https://www.naukri.com/job-listings-data-analyst-capgemini-pune-chennai-bengaluru-4-to-9-years-170426017733
Data Analyst,AU Small Finance Bank,2-4 Yrs,Not Disclosed,Jaipur,"python, data analytics, data analysis, sas, management skills, credit risk, pyspark, business analysis",". Bachelors Degree in Engineering, Computer Science, Mathematics, Statistics, or a rela...",https://www.naukri.com/job-listings-data-analyst-au-financiers-india-limited-jaipur-2-to-4-years-070426503019
Data Analyst,Mercedes Benz,5-10 Yrs,Not Disclosed,Bengaluru,"Data Analysis, python, data security, version control, data processing, databricks, power bi, data engineering",Must-Have    3-5 years of hands-on experience in data engineering on the Azure platf...,https://www.naukri.com/job-listings-data-analyst-mercedes-benz-research-and-development-india-pvt-ltd-bengaluru-5-to-10-years-080426925925
Data Analyst,Snapdeal,1-6 Yrs,Not Disclosed,Gurugram,"master data, python, metadata, data analysis, data analytics, data management, configuration, data mining","Providing technical expertise in data storage structures, data mining, and data cleansi...",https://www.naukri.com/job-listings-data-analyst-jasper-infotech-pvt-ltd-gurugram-1-to-6-years-221025507695
Data Analyst,Cognizant,5-9 Yrs,Not Disclosed,Hyderabad,"Data Analytics, SQL, Data Analysis, Analytics, Data, Analysis","5-9 Years Experienced Data analytics with exceptional SQL scripting skills, SQL Develo...",https://www.naukri.com/job-listings-data-analyst-cognizant-hyderabad-5-to-9-years-310326026897
Data Analyst,Optum,2-5 Yrs,Not Disclosed,Noida,"data analyst, snowflake, python, github, data analysis, data research, ai, databricks","Proven handson experience with SQL Server Integration Services (SSIS), Azure Data Facto...",https://www.naukri.com/job-listings-data-analyst-optum-global-solutions-india-private-limited-noida-2-to-5-years-170426921360
Data Analyst,Tata Consultancy Services,8-13 Yrs,20-35 Lacs PA,"Chennai, Bengaluru","Business Analytics, Data Analysis, Business Analysis, SQL, Analysis, Analytics, Data",Greetings From Tata Consultancy ServicesTCS is Hiring for Data Analyst/Business Analyst...,https://www.naukri.com/job-listings-data-analyst-tata-consultancy-services-chennai-bengaluru-8-to-13-years-090426031487
Data Analyst,Tata Consultancy Services,5-10 Yrs,Not Disclosed,"Hyderabad, Chennai","Data Analytics, Power Bi, Artificial Intelligence, Data Analysis, Data Visualization, Machine Learning, Python, SQL",Experience- 5-10 yearsLocation : Chennai and HyderabadJob descriptionDesired Competenc...,https://www.naukri.com/job-listings-data-analyst-tata-consultancy-services-hyderabad-chennai-5-to-10-years-170426000090
Data Analyst,CGI,8-13 Yrs,Not Disclosed,Hybrid - Hyderabad,"Power Bi, Data Analyst, Tableau, Data Bricks, SQL, Snowflake, Bricks, Bi",Job Title: Data AnalystPosition: Senior Software EngineerExperience: 8 - 14 YearsCateg...,https://www.naukri.com/job-listings-data-analyst-cgi-hyderabad-8-to-13-years-160426013632
Data Analyst,EXL,4-9 Yrs,Not Disclosed,Gurugram,"Stakeholder Engagement, Automation, Data analysis, Publishing, adobe analytics, power bi, Digital marketing, Performance improvement",Experience converting business needs into technical specifications and establishing tim...,https://www.naukri.com/job-listings-data-analyst-exl-services-com-i-pvt-ltd-gurugram-4-to-9-years-090426502475
